N,27,,,*,1,1,AND,0,10,32.7,+,28,59,49,14.3,13.5,0.8,13.1,1.2,0.5,117,Sb,742,"UGC 96","MCG 5-1-44","CGCG 499-63","KCPG 3B","IRAS 00079+2843",,,,,,
N,28,,,*,1,1,PHE,0,10,25.2,-,56,59,20,14.8,13.8,1,13.1,0.8,0.6,119,E1,730,"AM 0007-571",,,,,,,,,,
N,29,,,*,1,1,AND,0,10,47,+,33,21,7,13.5,12.7,0.8,12.8,1.5,0.7,154,SBbc,767,"NGC 21","UGC 100","MCG 5-1-48","IRAS 00082+3304","CGCG 499-66","KAZ 19",,,,,
N,30,,,*,9,1,PEG,0,10,50.8,+,21,58,39,,,,,,,,*2,,,,,,,,,,,,
N,31,,,*,1,1,PHE,0,10,38.5,-,56,59,10,14.6,13.9,0.7,13.4,1.3,0.7,5,Sc,751,"ESO 149-20","AM 0007-571",,,,,,,,,
N,32,,,*,9,1,PEG,0,10,53.2,+,18,47,33,,,,,0.6,,,*2,,,,,,,,,,,,
N,33,,,*,9,1,PSC,0,10,56.6,+,3,40,35,,,,,,,,*2,,,,,,,,,,,,
N,34,,,*,7,1,CET,0,11,6.6,-,12,6,28,15.3,14.4,0.9,14.8,2.1,0.8,30,S/P,781,"NGC 17","MCG -2-1-32","MK 938","VV 850","IRAS 00085-1223",,,,,,
N,35,,,*,1,1,CET,0,11,10.4,-,12,1,14,14.9,14.1,0.8,12.8,0.7,0.5,135,Sb,784,"MCG -2-1-33","NPM1G -12.0011","IRAS 00086-1217",,,,,,,,
N,36,,,*,1,1,PSC,0,11,22.4,+,6,23,20,14.1,13.3,0.8,14.1,2.2,1.1,21,SBb,798,"UGC 106","MCG 1-1-43","CGCG 408-40","IRAS 00088+0606",,,,,,,
N,37,,,*,1,1,PHE,0,11,23,-,56,57,25,14.7,13.7,1,13.3,1.1,0.7,35,SB0,801,"ESO 149-22","AM 0007-571",,,,,,,,,
N,38,,,*,1,1,PSC,0,11,47,-,5,35,11,14.2,13.3,0.9,13.8,1.4,1.3,80,Sa,818,"MCG -1-1-47",,,,,,,,,,
